datetime,경제활동인구,취업자,실업자,비경제활동인구,경제활동참가율[%],실업률[%],고용률[%],경제심리지수
2003-01-01,4791.7,4391.3,400.4,2502.8,65.7,8.4,60.2,101.6
2003-02-01,4804.8,4383,421.8,2483.5,65.9,8.8,60.1,100.3
2003-03-01,4756.9,4365.5,391.4,2524.6,65.3,8.2,60,98.8
2003-04-01,4726.2,4373.2,353,2551.1,64.9,7.5,60.1,97.7
2003-05-01,4734.5,4382.7,351.8,2540,65.1,7.4,60.2,95.7
2003-06-01,4732.4,4392.7,339.8,2532,65.1,7.2,60.5,96
2003-07-01,4831.5,4481.1,350.5,2426.5,66.6,7.3,61.7,94.3
2003-08-01,4698.3,4357.9,340.5,2543.4,64.9,7.2,60.2,95.1
2003-09-01,4632.6,4320.8,311.8,2595.1,64.1,6.7,59.8,97.1
2003-10-01,4668.9,4335.8,333.1,2546.1,64.7,7.1,60.1,99.2
2003-11-01,4699.5,4337.4,362.2,2499.9,65.3,7.7,60.2,100.7
2003-12-01,4754.8,4360.3,394.5,2432.2,66.2,8.3,60.7,101.9
2004-01-01,4770.5,4357.9,412.6,2410.3,66.4,8.6,60.7,104.3
2004-02-01,4779,4344.8,434.3,2387.7,66.7,9.1,60.6,105.6
2004-03-01,4755.8,4343.8,412,2396.6,66.5,8.7,60.7,106.6
2004-04-01,4741.5,4372.2,369.4,2396,66.4,7.8,61.3,107.3
2004-05-01,4774.6,4394.1,380.5,2348.2,67,8,61.7,104.6
2004-06-01,4744.6,4393.9,350.6,2367.6,66.7,7.4,61.8,101.5
2004-07-01,4784.1,4435.2,348.8,2319.4,67.3,7.3,62.4,97.2
2004-08-01,4598.3,4255.5,342.9,2491.5,64.9,7.5,60,96.2
2004-09-01,4659.7,4338.4,321.2,2415.6,65.9,6.9,61.3,96.6
2004-10-01,4686.2,4340,346.2,2374.7,66.4,7.4,61.5,96.5
2004-11-01,4692.4,4344.8,347.6,2350.5,66.6,7.4,61.7,95.1
2004-12-01,4682.1,4300.8,381.3,2341.7,66.7,8.1,61.2,92.6
2005-01-01,4659.2,4266.2,392.9,2347,66.5,8.4,60.9,92.6
2005-02-01,4691.5,4280.7,410.8,2302.8,67.1,8.8,61.2,98.2
2005-03-01,4664.7,4269.6,395.1,2314.2,66.8,8.5,61.2,105.2
2005-04-01,4626.2,4255.8,370.4,2336.8,66.4,8,61.1,110.4
2005-05-01,4627.7,4292.2,335.5,2320.3,66.6,7.2,61.8,108.9
2005-06-01,4622.7,4282.5,340.2,2311.7,66.7,7.4,61.8,105.8
2005-07-01,4686,4320.3,365.7,2236.1,67.7,7.8,62.4,101.9
2005-08-01,4521.5,4188,333.5,2391.2,65.4,7.4,60.6,101.8
2005-09-01,4499.7,4179.8,319.8,2406.3,65.2,7.1,60.5,103.4
2005-10-01,4551.8,4224.8,327,2345.6,66,7.2,61.3,105.5
2005-11-01,4531.6,4201.9,329.8,2358.4,65.8,7.3,61,107.5
2005-12-01,4509.8,4167.2,342.6,2368.1,65.6,7.6,60.6,109.4
2006-01-01,4546.2,4192.8,353.4,2345.7,66,7.8,60.8,112.8
2006-02-01,4492,4103.6,388.4,2391.5,65.3,8.6,59.6,115.2
2006-03-01,4502.1,4117.3,384.8,2370.7,65.5,8.5,59.9,116.8
2006-04-01,4494.2,4134.1,360.2,2373.7,65.4,8,60.2,116.9
2006-05-01,4484.9,4160,324.9,2379.9,65.3,7.2,60.6,114.6
2006-06-01,4475.7,4132.9,342.8,2386.5,65.2,7.7,60.2,110.4
2006-07-01,4558.7,4196.2,362.5,2298.8,66.5,8,61.2,106.2
2006-08-01,4431.1,4099.2,331.9,2421.6,64.7,7.5,59.8,104.7
2006-09-01,4418.8,4096.6,322.2,2423.4,64.6,7.3,59.9,105.6
2006-10-01,4423.4,4075.2,348.2,2411.7,64.7,7.9,59.6,107.6
2006-11-01,4436.2,4107.3,328.9,2385,65,7.4,60.2,109
2006-12-01,4433.3,4100.4,332.9,2376.6,65.1,7.5,60.2,109.2
2007-01-01,4447.5,4120.8,326.7,2359.2,65.3,7.3,60.5,108.2
2007-02-01,4398.6,4061.9,336.7,2396.7,64.7,7.7,59.8,109.3
2007-03-01,4366.8,4045.3,321.6,2418.4,64.4,7.4,59.6,111.3
2007-04-01,4397.7,4063.9,333.8,2377.6,64.9,7.6,60,114.1
2007-05-01,4407.1,4098.8,308.3,2364.2,65.1,7,60.5,114.5
2007-06-01,4386.3,4073.6,312.7,2381.9,64.8,7.1,60.2,114.3
2007-07-01,4463.4,4142.9,320.5,2296.1,66,7.2,61.3,114.2
2007-08-01,4318.4,4033.3,285.1,2432.2,64,6.6,59.7,115.1
2007-09-01,4286,3987.2,298.8,2455.8,63.6,7,59.1,116.3
2007-10-01,4332.7,4052.8,279.9,2403.8,64.3,6.5,60.2,116.4
2007-11-01,4380.3,4074.2,306.1,2346.1,65.1,7,60.6,115.4
2007-12-01,4288.6,3987.7,300.9,2427.7,63.9,7,59.4,113.8
2008-01-01,4322.8,4027.6,295.2,2389.4,64.4,6.8,60,112.7
2008-02-01,4273.7,3958.3,315.5,2428.3,63.8,7.4,59.1,112.6
2008-03-01,4270.3,3943.4,326.9,2419.8,63.8,7.7,58.9,111
2008-04-01,4283.6,3965.7,317.9,2395,64.1,7.4,59.4,109.9
2008-05-01,4318.2,4018.3,299.9,2349.6,64.8,6.9,60.3,106.4
2008-06-01,4299.2,3984.2,314.9,2359.1,64.6,7.3,59.8,103.8
2008-07-01,4315.6,4013.9,301.7,2336.6,64.9,7,60.3,98.7
2008-08-01,4211,3918.4,292.5,2430.2,63.4,6.9,59,98.1
2008-09-01,4173.7,3921.1,252.5,2455.9,63,6,59.1,97.9
2008-10-01,4176.6,3898,278.6,2440.6,63.1,6.7,58.9,94.2
2008-11-01,4189.6,3913.7,275.9,2419.8,63.4,6.6,59.2,84
2008-12-01,4119.8,3833.1,286.7,2479.6,62.4,7,58.1,71.7
